if;fio;birthdate;startdate;post;rate;salary;sectorid;driver
1;Абрамов Илья Борисович;19.11.1981;11.01.2019;инженер;jun;4800;1;0
2;Алексеев Тарас Климович;17.04.1942;13.08.2008;программист;jun;5787;2;0
3;Алексеева Таисия Николаевна;18.08.1968;12.04.2002;бухгалтер;middle;5840;4;0
4;Андреева Екатерина Артемовна;22.08.1958;08.04.2002;специалист;middle;4641;5;0
5;Антонова Ольга Андреевна;11.05.1972;19.07.2008;инженер;middle;4740;1;0
6;Арканов Антон Викторович;08.03.1978;22.09.2002;бухгалтер;senior;5230;4;1
7;Арканов Павел Дмитрьевич;27.12.1971;03.12.2001;программист;middle;4782;2;1
8;Арканова Наталия Валентиновна;20.01.1983;10.11.2017;инженер;middle;5005;1;1
9;Бажов Александр Викторович;05.05.1951;25.07.2001;инженер;middle;4216;3;0
10;Бакланова Алена Георгьевна;29.11.1940;01.01.2000;инженер;lead;4190;3;0
11;Бахревский Леонид Петрович;19.04.1949;11.08.2009;инженер;lead;7077;3;1
12;Белоусов Антон Данилович;30.08.1955;01.04.2005;инженер;senior;4912;1;0
13;Богданова Евгения Констатиновна;22.07.1947;08.05.2007;инженер;middle;5415;1;1
14;Бондарева Наталия Викторовна;20.09.1971;10.03.2001;специалист;lead;4744;5;1
15;Борисова Марина Антоновна;22.08.1952;08.04.2002;инженер;lead;5096;3;0
16;Бочкин Денис Игоревич;11.09.1975;19.03.2005;бухгалтер;senior;6394;4;0
17;Бочкина Ирина Сергеевна;25.03.1978;05.09.2008;бухгалтер;jun;5930;4;1
18;Булгаков Альберт Валентинович;14.05.1940;16.07.2000;бухгалтер;jun;5123;4;1
19;Васильева Оксана Валерьевна;20.11.1949;10.01.2009;программист;middle;6592;2;0
20;Васнецов Владислав Артемович;06.07.1983;24.05.2017;инженер;lead;4909;1;1
21;Васнецова Таисия Геннадьевна;11.06.1976;19.06.2006;специалист;senior;4609;5;1
22;Волков Андрей Евгеньевич;05.02.1978;25.10.2008;бухгалтер;jun;5490;4;1
23;Вольнов Леонид Олегович;17.07.1950;13.05.2000;бухгалтер;middle;5338;4;1
24;Высоцкий Владислав Вольдемарович;21.09.1941;09.03.2001;инженер;senior;5516;3;0
25;Грешковец Андрей Макарович;26.07.1965;04.05.2005;программист;jun;7084;2;1
26;Грибуцкая Дарья Петровна;18.07.1974;12.05.2004;специалист;senior;4257;5;1
27;Грибуцкий Дмитрий Александрович;14.04.1985;16.08.2005;инженер;lead;5283;1;0
28;Григорович Евгения Альбертовна;09.05.1942;21.07.2002;специалист;senior;4183;5;1
29;Гумилев Вячеслав Семенович;31.01.1971;30.11.2001;инженер;middle;5521;1;1
30;Дадыкина Валентина Тимофеевна;30.04.1946;31.08.2006;инженер;senior;5493;3;1
31;Данилова Фаина Вячеславовна;06.08.1940;24.04.2000;инженер;jun;5401;1;1
32;Донцов Артем Леонидович;14.08.1983;16.04.2017;инженер;middle;5210;3;0
33;Егоров Александр Александрович;20.09.1979;10.03.2021;бухгалтер;senior;6080;4;1
34;Золотова Мария Григорьевна;07.11.1980;13.01.2020;программист;lead;6255;2;0
35;Кабалевская Марина Владиславовна;16.07.1974;14.05.2004;программист;lead;6242;2;1
36;Кабалевская Татьяна Алексеевна;18.12.1946;12.12.2006;инженер;jun;7100;1;0
37;Каневская Надежда Никитовна;06.04.1971;24.08.2001;инженер;middle;4085;1;0
38;Карамзина Оксана Ростиславовна;27.10.1975;03.02.2005;инженер;lead;6672;3;1
39;Конаков Игорь Евгеньевич;08.05.1978;22.07.2022;инженер;senior;4890;1;0
40;Королев Денис Валерьевич;09.02.1943;11.10.2003;инженер;senior;8000;1;1
41;Королева Екатерина Николаевна;10.07.1971;20.05.2001;бухгалтер;lead;4840;4;0
42;Красилов Павел Альбертович;02.03.1951;28.09.2001;специалист;jun;6842;5;0
43;Красько Макар Захарович;09.09.1962;21.03.2002;инженер;senior;6024;1;1
44;Красько Павел Иванович;07.07.1972;23.05.2002;инженер;jun;5100;3;1
45;Кривоногова Валерия Климовна;08.06.1956;22.06.2006;инженер;senior;5981;1;0
46;Кудряшев Василий Александрович;10.03.1943;20.09.2003;бухгалтер;lead;4483;4;0
47;Кудряшев Владислав Артурович;20.07.1982;10.05.2020;программист;jun;4902;2;0
48;Кудряшев Павел Ефремович;26.03.1950;04.09.2000;программист;senior;6827;2;1
49;Кудряшев Юрий Игоревич;22.12.1979;08.12.2021;бухгалтер;jun;5120;4;0
50;Кузнецова Елена Борисовна;02.09.1985;28.03.2015;инженер;middle;5890;1;1
51;Куликов Андрей Александрович;27.05.1983;03.07.2017;инженер;middle;4580;1;0
52;Левакова Таисия Констатиновна;08.04.1985;22.08.2015;инженер;jun;4105;3;1
53;Леонидова Ирина Тарасовна;26.07.1941;04.05.2001;бухгалтер;senior;6060;4;0
54;Логинов Евгений Владимирович;22.01.1981;08.11.2019;бухгалтер;senior;4800;4;0
55;Лыков Иван Игоревич;13.02.1980;17.10.2020;инженер;senior;4650;3;1
56;Макаров Петр Валентинович;04.10.1954;26.02.2004;специалист;lead;5869;5;1
57;Маркова Майя Тарасовна;10.08.1983;20.04.2017;специалист;lead;6417;5;1
58;Медведев Петр Климович;11.05.1942;19.07.2002;специалист;middle;6401;5;0
59;Менделеева Дарья Тарасовна;10.09.1943;20.03.2003;программист;lead;4772;2;0
60;Мишин Виктор Филиппович;06.12.1978;24.12.2008;специалист;senior;4772;5;1
61;Морозов Семен Олегович;22.11.1983;08.01.2017;специалист;middle;6512;5;1
62;Набокова Валентина Тарасовна;19.07.1964;11.05.2004;специалист;middle;6641;5;1
63;Новикова Евгения Игоревна;14.12.1984;16.12.2004;бухгалтер;jun;4730;4;1
64;Орлов Андрей Юрьевич;16.02.1970;14.10.2000;инженер;middle;6080;1;1
65;Орлов Никита Олегович;07.12.1969;23.12.2009;программист;lead;6331;2;1
66;Орлов Николай Валерьевич;29.03.1965;01.09.2005;программист;middle;6327;2;1
67;Орлова Алиса Леонидовна;25.04.1960;05.08.2005;программист;lead;4087;2;0
68;Павлов Геннадий Кириллович;26.04.1945;04.08.2005;программист;middle;5564;2;0
69;Панченко Алексей Альбертович;02.03.1942;28.09.2002;инженер;senior;5118;1;1
70;Петраченко Анна Петровна;28.01.1982;02.11.2018;инженер;middle;7100;1;0
